1,1,1376.0,1568.0,134.0,107.0,1,2,1.0
1,2,1034.0,300.0,49.09999999999991,28.30000000000001,1,1,1.0
1,3,2966.0,1142.0,41.0,30.0,1,1,1.0
2,1,1376.0,1568.0,134.0,107.0,1,2,1.0
2,2,1040.0,301.0,44.0,29.0,1,1,1.0
2,3,2971.0,1141.0,45.0,31.0,1,1,1.0
3,1,1376.0,1568.0,134.0,107.0,1,2,1.0
3,2,1045.0,300.0,44.0,31.0,1,1,1.0
3,3,2978.0,1143.0,42.0,29.0,1,1,1.0
4,1,1376.0,1567.0,133.0,107.0,1,2,1.0
4,2,1051.0,302.0,41.0,28.0,1,1,1.0
4,3,2978.0,1143.0,47.19999999999982,29.0,1,1,1.0
5,1,1376.0,1566.0,133.0,108.0,1,2,1.0
5,2,1056.0,300.0,44.0,30.0,1,1,1.0
5,3,2988.0,1144.0,44.0,29.0,1,1,1.0
6,1,1375.0,1565.0,133.0,108.0,1,2,1.0
6,2,1061.0,300.0,43.0,30.0,1,1,1.0
6,3,2992.0,1143.0,47.0,32.0,1,1,1.0
7,1,1374.0,1566.0,134.0,107.0,1,2,1.0
7,2,1066.0,300.0,44.0,30.0,1,1,1.0
7,3,2997.0,1144.0,47.0,33.0,1,1,1.0
8,1,1374.0,1566.0,133.0,107.0,1,2,1.0
8,2,1072.0,301.0,41.0,28.0,1,1,1.0
8,3,3004.0,1147.0,42.0,29.0,1,1,1.0
9,1,1373.0,1566.0,135.0,107.0,1,2,1.0
9,2,1076.0,300.0,44.0,30.0,1,1,1.0
9,3,3012.0,1148.0,40.0,28.0,1,1,1.0
10,1,1374.0,1565.0,134.0,108.0,1,2,1.0
10,2,1082.0,300.0,45.0,30.0,1,1,1.0
10,3,3019.0,1149.0,40.0,27.0,1,1,1.0
11,1,1374.0,1565.0,134.0,108.0,1,2,1.0
11,2,1088.0,300.0,44.0,30.0,1,1,1.0
11,3,3019.0,1149.0,49.80000000000018,29.299999999999955,1,1,1.0
12,1,1374.0,1565.0,133.0,108.0,1,2,1.0
12,2,1093.0,299.0,44.0,30.0,1,1,1.0
